id,forwardPivotInt,InnerForwardPivotInt
1329779361717874695,None,Election officials have certified Joe Biden as the winner of the U.S. Presidential election
1324109641291190272,None,Official sources may not have called the race when this was Tweeted
1323866017425104896,None,Learn about US 2020 election security efforts
1324012575999332354,None,Learn about US 2020 election security efforts
1332398733401591808,Multiple sources called this election differently,None
1336057666116972545,This claim about election fraud is disputed,None
1334623644081922052,None,This claim about election fraud is disputed
1334620731045507073,This claim about election fraud is disputed,None
1327750923595243521,None,This claim about election fraud is disputed
1333145534765428737,This claim about election fraud is disputed,None
1328363178909110274,None,This claim about election fraud is disputed
1333156442342387714,None,This claim about election fraud is disputed
1327704841964183552,This claim about election fraud is disputed,None
1332282554095968256,None,Multiple sources called this election differently
1330137267680186371,This claim about election fraud is disputed,None
1325904953353920516,None,This claim about election fraud is disputed
1328361451497664512,This claim about election fraud is disputed,None
1332169753004224515,Multiple sources called this election differently,None
1327346790153248768,None,This claim about election fraud is disputed
1330160822799257602,None,This claim about election fraud is disputed
1331090684862992384,None,This claim about election fraud is disputed
1328339423784734724,None,Multiple sources called this election differently
1327769429812400129,None,This claim about election fraud is disputed
1329626711584071681,None,Multiple sources called this election differently
1332575644912332801,None,Election officials have certified Joe Biden as the winner of the U.S. Presidential election
1329081732759388160,None,This claim about election fraud is disputed
1331406725510025219,None,This claim about election fraud is disputed
1328440708735307779,None,This claim about election fraud is disputed
1331393812728573952,This claim about election fraud is disputed,None
1333774657221251073,None,Multiple sources called this election differently
1332552283553476608,Multiple sources called this election differently,Multiple sources called this election differently
1328382287331856384,This claim about election fraud is disputed,None
1326354287212032000,This claim about election fraud is disputed,None
1324670953977241600,None,Some votes may still need to be counted
1328221559010553856,None,Multiple sources called this election differently
1326727433010245632,None,This claim about election fraud is disputed
1328335520271831040,None,Multiple sources called this election differently
1334243563803172867,None,This claim about election fraud is disputed
1327280751591747586,None,This claim about election fraud is disputed
1331655154492448770,This claim about election fraud is disputed,None
1331656144830537728,None,This claim about election fraud is disputed
1325121804873052163,None,Official sources may not have called the race when this was Tweeted
1328339466319224833,None,Multiple sources called this election differently
1324085472495345665,Learn about US 2020 election security efforts,None
1325124571809210371,None,Official sources may not have called the race when this was Tweeted
1325131945391640578,None,Official sources may not have called the race when this was Tweeted
1325132607928012806,None,Official sources may not have called the race when this was Tweeted
1325116875022487552,None,Official sources may not have called the race when this was Tweeted
1330737141794676736,Multiple sources called this election differently,None
1326957328894218243,None,This claim about election fraud is disputed
1324390534195126272,None,Learn about US 2020 election security efforts
1324402890077818880,None,Learn about US 2020 election security efforts
1330887294514065409,None,Multiple sources called this election differently
1324545660197261312,None,Learn about US 2020 election security efforts
1325277871322050566,Multiple sources called this election differently,None
1326740844427304960,Learn about US 2020 election security efforts,None
1333244506871918599,None,This claim about election fraud is disputed
1332380892682215424,Multiple sources called this election differently,None
1324028733590773760,None,Official sources may not have called the race when this was Tweeted
1328218404315033602,None,Multiple sources called this election differently
1323911716720226310,Learn about US 2020 election security efforts,None
1333872664478408710,Multiple sources called this election differently,None
1324198933514637316,None,Learn about US 2020 election security efforts
1324070363211452418,None,Learn about US 2020 election security efforts
1323971449078620169,Learn how voting by mail is safe and secure,None
1335469258558541824,This claim about election fraud is disputed,None
1335510832021696513,None,This claim about election fraud is disputed
1335660912989048832,None,This claim about election fraud is disputed
1324383107810795520,Learn about US 2020 election security efforts,None
1324086828153057281,Official sources may not have called the race when this was Tweeted,None
1324732111207780352,None,Learn about US 2020 election security efforts
1324186843026542594,None,Learn how voting by mail is safe and secure
1335661645507465218,None,Multiple sources called this election differently
1334593386679050243,This claim about election fraud is disputed,None
1324129181349924867,None,Learn about US 2020 election security efforts
1324197824129617920,Learn about US 2020 election security efforts,None
1324462128741425152,This claim about election fraud is disputed,None
1335462704006492160,This claim about election fraud is disputed,None
1324132415225384962,None,Official sources may not have called the race when this was Tweeted
1324237476186202113,None,This claim about election fraud is disputed
1324132284140761090,Learn about US 2020 election security efforts,None
1324239926641262593,Learn about US 2020 election security efforts,None
1335335073864880130,None,Multiple sources called this election differently
1324031726096699392,Learn about US 2020 election security efforts,None
1324209242681782275,None,Learn how voting by mail is safe and secure
1335254458247180296,Multiple sources called this election differently,None
1335454459971956737,This claim about election fraud is disputed,None
1335413770139549697,This claim about election fraud is disputed,None
1324122450423144449,None,Official sources may not have called the race when this was Tweeted
1328328547598000130,This claim about election fraud is disputed,None
1326595796947656716,This claim about election fraud is disputed,None
1334718501001580544,None,This claim about election fraud is disputed
1332317347722498048,This claim about election fraud is disputed,None
1326220987608621056,This claim about election fraud is disputed,None
1329086548093014022,This claim about election fraud is disputed,None
1324815748108345344,None,This claim about election fraud is disputed
1329481338450112512,This claim about election fraud is disputed,None
1324829437020508174,None,Official sources may not have called the race when this was Tweeted
1324720240790544384,None,Official sources may not have called the race when this was Tweeted
1329798895791181827,None,Multiple sources called this election differently
1324540832779821056,None,Learn about US 2020 election security efforts
1324566720414101507,Official sources may not have called the race when this was Tweeted,None
1327981226305740801,None,This claim about election fraud is disputed
1326593809149554701,This claim about election fraud is disputed,None
1329495103107461120,None,This claim about election fraud is disputed
1326601369852268544,None,This claim about election fraud is disputed
1327969622512033792,None,This claim about election fraud is disputed
1324085691849035780,Some votes may still need to be counted,None
1324087747339030529,None,Some votes may still need to be counted
1324086986257346560,None,Official sources may not have called the race when this was Tweeted
1329862970084634626,None,Multiple sources called this election differently
1316173724589060096,Manipulated media,None
1316210206762770433,None,Manipulated media
1334274902715752456,None,This claim about election fraud is disputed
1327969957611769862,None,This claim about election fraud is disputed
1329534727284469767,None,Multiple sources called this election differently
1328387071518650377,None,Multiple sources called this election differently
1324406146715643904,None,Learn about US 2020 election security efforts
1325446506866995202,None,This claim about election fraud is disputed
1327959130338856960,None,This claim about election fraud is disputed
1325115015469301763,None,Official sources may not have called the race when this was Tweeted
1325379186689650690,None,This claim about election fraud is disputed
1331219312112250890,None,This claim about election fraud is disputed
1327413534901350400,Multiple sources called this election differently,None
1328340572826972165,None,Multiple sources called this election differently
1325918549387456515,This claim about election fraud is disputed,None
1325124044975452161,None,Official sources may not have called the race when this was Tweeted
1325115162714533889,None,Official sources may not have called the race when this was Tweeted
1329418441158242305,None,This claim about election fraud is disputed
1327979939891732482,None,This claim about election fraud is disputed
1326679385966047236,This claim about election fraud is disputed,None
1327972802880827392,None,This claim about election fraud is disputed
1329415121425342467,None,This claim about election fraud is disputed
1328329709122445312,None,Multiple sources called this election differently
1329401626763943936,This claim about election fraud is disputed,None
1325959582846492675,None,Official sources may not have called the race when this was Tweeted
1334943817418600448,This claim about election fraud is disputed,None
1331683728981176321,None,This claim about election fraud is disputed
1334946379425255424,None,This claim about election fraud is disputed
1326927559062380546,None,This claim about election fraud is disputed
1331680682578501632,This claim about election fraud is disputed,None
1325958674469191680,None,This claim about election fraud is disputed
1324048830908796929,None,Official sources may not have called the race when this was Tweeted
1323853951394074629,Official sources may not have called the race when this was Tweeted,None
1323866914431635457,None,Learn about US 2020 election security efforts
1325066593303474176,None,Learn about US 2020 election security efforts
1325918595981959169,This claim about election fraud is disputed,None
1273808100659810304,None,Manipulated media
1324386054254809091,This claim about election fraud is disputed,None
1324565352408256513,None,This claim about election fraud is disputed
1328333139530420224,None,Multiple sources called this election differently
1331657162381266945,None,This claim about election fraud is disputed
1327752182318452736,None,This claim about election fraud is disputed
1325118559467397121,This claim about election fraud is disputed,None
1328330394387660801,None,Multiple sources called this election differently
1328200882123468802,None,Multiple sources called this election differently
1326661149027409920,None,Learn how voting by mail is safe and secure
1329088629373767682,None,This claim about election fraud is disputed
1324006222253744128,None,Learn about US 2020 election security efforts
1324389179220992000,None,Learn about US 2020 election security efforts
1326940988514963457,None,This claim about election fraud is disputed
1325133627282296834,None,Official sources may not have called the race when this was Tweeted
1330442339987443713,None,This claim about election fraud is disputed
1273810779255517184,None,Manipulated media
1324778522557190150,None,Learn about US 2020 election security efforts
1334193320034258946,None,This claim about election fraud is disputed
1334155285909409801,This claim about election fraud is disputed,None
1323864948469125121,None,Learn about US 2020 election security efforts
1332776310196883461,This claim about election fraud is disputed,None
1323965523760238597,None,Official sources may not have called the race when this was Tweeted
1332829823127924737,None,This claim about election fraud is disputed
1326017351960174592,This claim about election fraud is disputed,None
1326216760752828417,None,This claim about election fraud is disputed
1326963681431842824,None,This claim about election fraud is disputed
1334569329334083586,This claim about election fraud is disputed,None
1334712409165066245,None,This claim about election fraud is disputed
1334244964516175880,None,This claim about election fraud is disputed
1329521221621477380,None,Multiple sources called this election differently
1327961311158919173,None,This claim about election fraud is disputed
1332018673427558403,None,This claim about election fraud is disputed
1328299449450455040,None,Multiple sources called this election differently
1326910275082186760,None,This claim about election fraud is disputed
1325077453442850816,None,This claim about election fraud is disputed
1327368326104961031,None,This claim about election fraud is disputed
1325089024579670021,None,This claim about election fraud is disputed
1326906699320586242,None,This claim about election fraud is disputed
1325078079534985216,None,This claim about election fraud is disputed
1326906607154900998,This claim about election fraud is disputed,This claim about election fraud is disputed
1326904266032812033,None,This claim about election fraud is disputed
1335052022530379776,This claim about election fraud is disputed,None
1333856259662077954,This claim about election fraud is disputed,None
1335669085938601987,This claim about election fraud is disputed,None
1329777897662541828,Multiple sources called this election differently,None
1333530175770857475,This claim about election fraud is disputed,None
1330732289018503170,This claim about election fraud is disputed,None
1327616396939948032,This claim about election fraud is disputed,None
1329069814195871744,This claim about election fraud is disputed,None
1330248268656357376,Multiple sources called this election differently,None
1325958752986570754,Learn how voting by mail is safe and secure,None
1333771923214491648,This claim about election fraud is disputed,This claim about election fraud is disputed
1324186099846172672,Official sources may not have called the race when this was Tweeted,None
1324828181803765760,None,Learn about US 2020 election security efforts
1325410570703679489,This claim about election fraud is disputed,None
1328403524552560640,None,Multiple sources called this election differently
1328370131144159232,None,Multiple sources called this election differently
1325121268773871616,None,Official sources may not have called the race when this was Tweeted
1325478425495138305,None,This claim about election fraud is disputed
1324019172028813312,None,This claim about election fraud is disputed
1333291756566306817,None,This claim about election fraud is disputed
1334246619898933249,None,This claim about election fraud is disputed
1324140349925826560,None,Official sources may not have called the race when this was Tweeted
1326079467412807680,None,This claim about election fraud is disputed
1325964618099945472,None,This claim about election fraud is disputed
1324089215492124672,None,Official sources may not have called the race when this was Tweeted
1324124220880637952,None,Official sources may not have called the race when this was Tweeted
1325795224657010693,This claim about election fraud is disputed,None
1326661736200462337,None,Learn how voting by mail is safe and secure
1333270176075280391,This claim about election fraud is disputed,None
1333558836964122625,This claim about election fraud is disputed,None
1333565832765476866,None,This claim about election fraud is disputed
1334606278388277253,This claim about election fraud is disputed,None
1334638914716520448,None,This claim about election fraud is disputed
1335971721262796801,This claim about election fraud is disputed,None
1334848556176379907,This claim about election fraud is disputed,None
1334917424748048393,This claim about election fraud is disputed,None
1333464453778706433,This claim about election fraud is disputed,None
1331358746354753537,None,This claim about election fraud is disputed
1334952723968634881,None,This claim about election fraud is disputed
1330773514815565825,None,This claim about election fraud is disputed
1329817104204304389,This claim about election fraud is disputed,None
1323868840023920641,Official sources may not have called the race when this was Tweeted,None
1330318373700448261,None,Multiple sources called this election differently
1329463973448597506,None,This claim about election fraud is disputed
1329796961470443524,This claim about election fraud is disputed,None
1331422902118301698,This claim about election fraud is disputed,None
1331639716316213250,None,This claim about election fraud is disputed
1328507335967272960,None,This claim about election fraud is disputed
1324109474244820992,None,Official sources may not have called the race when this was Tweeted
1324110824995172353,None,Official sources may not have called the race when this was Tweeted
1327961178828660736,None,This claim about election fraud is disputed
1328083394652205056,None,This claim about election fraud is disputed
1328336604155551744,None,Multiple sources called this election differently
1324053439484186624,None,Learn about US 2020 election security efforts
1324112755713052673,None,Official sources may not have called the race when this was Tweeted
1328345762418348034,None,Multiple sources called this election differently
1326897370693574657,This claim about election fraud is disputed,None
1323872305085321218,None,Learn about US 2020 election security efforts
1325144012345364482,None,Official sources may not have called the race when this was Tweeted
1324112785861730304,None,Official sources may not have called the race when this was Tweeted
1325920491182362632,None,This claim about election fraud is disputed
1329505557259149313,None,Multiple sources called this election differently
1325137142121721857,None,Official sources may not have called the race when this was Tweeted
1328853733418147841,None,This claim about election fraud is disputed
1310586801971761153,None,Learn how voting by mail is safe and secure
1328856158736707585,None,This claim about election fraud is disputed
1327695528218521603,None,This claim about election fraud is disputed
1329393468272152576,None,This claim about election fraud is disputed
1329298668403499009,This claim about election fraud is disputed,None
1326370062740164609,This claim about election fraud is disputed,None
1326668120967286784,This claim about election fraud is disputed,None
1327402113920602114,This claim about election fraud is disputed,None
1327962766582427649,None,This claim about election fraud is disputed
1332470099345858560,None,This claim about election fraud is disputed
1323867655552589826,None,Learn about US 2020 election security efforts
1325449301850460160,None,This claim about election fraud is disputed
1324349845788893185,None,Learn about US 2020 election security efforts
1327708998662025216,This claim about election fraud is disputed,None
1334310172483866624,None,This claim about election fraud is disputed
1328832461133017089,None,This claim about election fraud is disputed
1331221464679374848,None,This claim about election fraud is disputed
1325557845388107776,This claim about election fraud is disputed,None
1331057147145314304,This claim about election fraud is disputed,None
1324582022917050368,This claim about election fraud is disputed,None
1334652532417814531,None,This claim about election fraud is disputed
1325242764293005314,None,This claim about election fraud is disputed
1330405225811898368,None,This claim about election fraud is disputed
1325495515748950018,This claim about election fraud is disputed,None
1332335610707800069,None,This claim about election fraud is disputed
1332706282634141697,None,Multiple sources called this election differently
1324375683657859072,None,This claim about election fraud is disputed
1330169161759268876,This claim about election fraud is disputed,None
1334573529107460096,This claim about election fraud is disputed,None
1326721355107151872,This claim about election fraud is disputed,None
1332349861774155778,This claim about election fraud is disputed,None
1324855951678230530,None,This claim about election fraud is disputed
1326751894501535744,None,This claim about election fraud is disputed
1332723498092015616,None,This claim about election fraud is disputed
1330876819889934343,This claim about election fraud is disputed,None
1332492501668728834,This claim about election fraud is disputed,None
1330908071594500098,This claim about election fraud is disputed,None
1336302190672097282,This claim about election fraud is disputed,None
1325232078410178561,This claim about election fraud is disputed,None
1325264909421211648,This claim about election fraud is disputed,None
1327645838559076353,None,This claim about election fraud is disputed
1324870700906270720,None,This claim about election fraud is disputed
1324563483078307840,Learn about US 2020 election security efforts,None
1324939770271854593,This claim about election fraud is disputed,None
1327408321297526784,None,Multiple sources called this election differently
1325124161174441989,This claim about election fraud is disputed,None
1324838760878583809,This claim about election fraud is disputed,None
1324852269062512645,None,This claim about election fraud is disputed
1332714022332936197,None,This claim about election fraud is disputed
1325818174001061894,This claim about election fraud is disputed,None
1331663899817439232,None,This claim about election fraud is disputed
1328856280715419650,None,This claim about election fraud is disputed
1324080812745261056,None,Official sources may not have called the race when this was Tweeted
1334242031078694919,None,This claim about election fraud is disputed
1324090917419175946,Official sources may not have called the race when this was Tweeted,None
1334338371494305799,None,This claim about election fraud is disputed
1324109693460111366,None,Official sources may not have called the race when this was Tweeted
1328203781960568834,None,Multiple sources called this election differently
1325956827226525699,None,Official sources may not have called the race when this was Tweeted
1324092276981858306,None,Official sources may not have called the race when this was Tweeted
1327413208760659971,None,Multiple sources called this election differently
1327415273977221121,None,Multiple sources called this election differently
1331987889836748801,None,This claim about election fraud is disputed
1331090603447357440,None,This claim about election fraud is disputed
1325102714095886341,None,Official sources may not have called the race when this was Tweeted
1332780758981898243,None,This claim about election fraud is disputed
1325067867612647424,None,Learn about US 2020 election security efforts
1334001184298905601,This claim about election fraud is disputed,None
1328325907401093121,This claim about election fraud is disputed,None
1328327195945820160,None,This claim about election fraud is disputed
1325149690514591746,This claim about election fraud is disputed,None
1325161523636035585,None,This claim about election fraud is disputed
1332005193613864960,None,This claim about election fraud is disputed
1331991272870076418,None,This claim about election fraud is disputed
1333207778643628032,This claim about election fraud is disputed,None
1324438768460439552,None,Learn about US 2020 election security efforts
1324534459983646720,None,Learn about US 2020 election security efforts
1325528614801190922,None,This claim about election fraud is disputed
1324568613634932736,None,Official sources may not have called the race when this was Tweeted
1325115997997633536,None,Official sources may not have called the race when this was Tweeted
1328854037006069761,None,This claim about election fraud is disputed
1328229283970560001,None,Multiple sources called this election differently
1325114620726620161,None,Official sources may not have called the race when this was Tweeted
1325103560485433344,None,Official sources may not have called the race when this was Tweeted
1328334207274405889,None,Multiple sources called this election differently
1328357161617993729,None,Multiple sources called this election differently
1324243089909833728,Learn about US 2020 election security efforts,None
1329247311961206786,This claim about election fraud is disputed,None
1324066545086173184,None,Learn about US 2020 election security efforts
1329071841361633285,None,This claim about election fraud is disputed
1333988969785257984,This claim about election fraud is disputed,None
1324082144088641540,Learn about US 2020 election security efforts,None
1333242987342684160,None,This claim about election fraud is disputed
1324882115029307394,None,Learn about US 2020 election security efforts
1326212982083293185,This claim about election fraud is disputed,None
1326367964602507268,Learn how voting by mail is safe and secure,None
1326359023554359299,None,This claim about election fraud is disputed
1333482481140510737,None,This claim about election fraud is disputed
1328358947422691329,None,Multiple sources called this election differently
1324103213730222082,None,Official sources may not have called the race when this was Tweeted
1325113277492330496,None,Official sources may not have called the race when this was Tweeted
1332405383076442113,None,This claim about election fraud is disputed
1332337895584264197,This claim about election fraud is disputed,None
1331984934253125632,Learn how voting by mail is safe and secure,None
1331738816856666114,Learn how voting by mail is safe and secure,None
1331751453908742145,This claim about election fraud is disputed,None
